Task_ID,Snapshot_Date,Status,Progress_Percentage,Blocked_Flag,Delay_Days,Forecast_End_Date,Delay_Reason,Risk_Level,Open_Issues,Actual_End_Date,Actual_Cost
ENG-001,2026-12-07,Not Started,0.0,False,0.0,2027-01-09,,Low,0,,0.0
ENG-001,2026-12-14,Not Started,0.0,False,0.0,2027-01-09,,Low,0,,0.0
ENG-001,2026-12-21,Not Started,0.0,False,0.0,2027-01-09,,Low,1,,0.0
ENG-001,2026-12-28,In Progress,21.8,False,0.0,2027-01-08,,Low,0,,6493.0
ENG-001,2027-01-04,In Progress,81.4,False,0.0,2027-01-08,,Low,0,,24243.0
ENG-001,2027-01-11,Completed,100.0,False,0.0,2027-01-06,,Low,0,2027-01-06,29783.0
ENG-001,2027-01-18,Completed,100.0,False,0.0,2027-01-06,,Low,0,2027-01-06,29783.0
ENG-001,2027-01-25,Completed,100.0,False,0.0,2027-01-06,,Low,2,2027-01-06,29783.0
ENG-001,2027-02-01,Completed,100.0,False,0.0,2027-01-06,,Low,0,2027-01-06,29783.0
ENG-001,2027-02-08,Completed,100.0,False,0.0,2027-01-06,,Low,1,2027-01-06,29783.0
ENG-001,2027-02-15,Completed,100.0,False,0.0,2027-01-06,,Low,1,2027-01-06,29783.0
ENG-001,2027-02-22,Completed,100.0,False,0.0,2027-01-06,,Low,0,2027-01-06,29783.0
ENG-002,2026-12-07,Not Started,0.0,False,0.0,2026-12-30,,Low,1,,0.0
ENG-002,2026-12-14,Not Started,0.0,False,0.0,2026-12-30,,Low,0,,0.0
ENG-002,2026-12-21,Not Started,0.0,False,0.0,2026-12-30,,Low,0,,0.0
ENG-002,2026-12-28,In Progress,63.6,False,0.0,2026-12-30,,Low,2,,82355.0
ENG-002,2027-01-04,Completed,100.0,False,1.0,2026-12-31,Vendor Delay,Medium,0,2026-12-31,129488.0
ENG-002,2027-01-11,Completed,100.0,False,1.0,2026-12-31,Vendor Delay,Medium,2,2026-12-31,129488.0
ENG-002,2027-01-18,Completed,100.0,False,1.0,2026-12-31,Vendor Delay,Medium,1,2026-12-31,129488.0
ENG-002,2027-01-25,Completed,100.0,False,1.0,2026-12-31,Vendor Delay,Medium,0,2026-12-31,129488.0
ENG-002,2027-02-01,Completed,100.0,False,1.0,2026-12-31,Vendor Delay,Medium,0,2026-12-31,129488.0
ENG-002,2027-02-08,Completed,100.0,False,1.0,2026-12-31,Vendor Delay,Medium,0,2026-12-31,129488.0
ENG-002,2027-02-15,Completed,100.0,False,1.0,2026-12-31,Vendor Delay,Medium,0,2026-12-31,129488.0
ENG-002,2027-02-22,Completed,100.0,False,1.0,2026-12-31,Vendor Delay,Medium,0,2026-12-31,129488.0
ENG-003,2026-12-07,In Progress,0.0,False,2.0,2026-12-28,Design/Technical Issue,High,3,,0.0
ENG-003,2026-12-14,In Progress,24.4,False,2.0,2026-12-28,Design/Technical Issue,High,1,,14892.0
ENG-003,2026-12-21,In Progress,70.9,False,2.0,2026-12-28,Design/Technical Issue,High,0,,43271.0
ENG-003,2026-12-28,In Progress,99.6,False,2.0,2026-12-28,Design/Technical Issue,High,1,,60787.0
ENG-003,2027-01-04,Completed,100.0,False,5.0,2026-12-31,Design/Technical Issue,High,3,2026-12-31,61031.0
ENG-003,2027-01-11,Completed,100.0,False,5.0,2026-12-31,Design/Technical Issue,High,0,2026-12-31,61031.0
ENG-003,2027-01-18,Completed,100.0,False,5.0,2026-12-31,Design/Technical Issue,High,1,2026-12-31,61031.0
ENG-003,2027-01-25,Completed,100.0,False,5.0,2026-12-31,Design/Technical Issue,High,3,2026-12-31,61031.0
ENG-003,2027-02-01,Completed,100.0,False,5.0,2026-12-31,Design/Technical Issue,High,1,2026-12-31,61031.0
ENG-003,2027-02-08,Completed,100.0,False,5.0,2026-12-31,Design/Technical Issue,High,4,2026-12-31,61031.0
ENG-003,2027-02-15,Completed,100.0,False,5.0,2026-12-31,Design/Technical Issue,High,1,2026-12-31,61031.0
ENG-003,2027-02-22,Completed,100.0,False,5.0,2026-12-31,Design/Technical Issue,High,2,2026-12-31,61031.0
ENG-004,2026-12-07,Not Started,0.0,False,0.0,2026-12-30,,Low,0,,0.0
ENG-004,2026-12-14,In Progress,0.4,False,0.0,2026-12-29,,Low,0,,412.0
ENG-004,2026-12-21,In Progress,24.3,False,0.0,2026-12-29,,Low,0,,25040.0
ENG-004,2026-12-28,In Progress,92.9,False,0.0,2026-12-29,,Low,0,,95729.0
ENG-004,2027-01-04,Completed,100.0,False,3.0,2027-01-02,Design/Technical Issue,High,2,2027-01-02,103045.0
ENG-004,2027-01-11,Completed,100.0,False,3.0,2027-01-02,Design/Technical Issue,High,1,2027-01-02,103045.0
