Department_ID,Department_Name,Workstream,Task_Name
IT,Information Technology,Network & Infrastructure,Core network design and cabling installation
IT,Information Technology,Network & Infrastructure,Backbone switch and router configuration
IT,Information Technology,Network & Infrastructure,Server room setup and rack installation
IT,Information Technology,Network & Infrastructure,Guest Wi-Fi network deployment
IT,Information Technology,Network & Infrastructure,Staff Wi-Fi network deployment
IT,Information Technology,Network & Infrastructure,Wireless access point site survey
IT,Information Technology,Network & Infrastructure,Network segmentation and VLAN configuration
IT,Information Technology,Network & Infrastructure,Internet service provider circuit installation
IT,Information Technology,Network & Infrastructure,Firewall installation and configuration
IT,Information Technology,Network & Infrastructure,Network uptime and failover testing
IT,Information Technology,Network & Infrastructure,IP addressing scheme documentation
IT,Information Technology,Network & Infrastructure,IP Telephony / PBX system setup and testing
IT,Information Technology,Network & Infrastructure,Server room UPS and power protection testing
IT,Information Technology,Network & Infrastructure,Network and infrastructure monitoring setup
IT,Information Technology,Systems Integration (PMS/POS),PMS installation
IT,Information Technology,Systems Integration (PMS/POS),PMS interface testing with Front Office
IT,Information Technology,Systems Integration (PMS/POS),POS system installation for F&B outlets
IT,Information Technology,Systems Integration (PMS/POS),POS integration with PMS for guest billing
IT,Information Technology,Systems Integration (PMS/POS),Channel manager and OTA connectivity setup
IT,Information Technology,Systems Integration (PMS/POS),Central reservation system integration
IT,Information Technology,Systems Integration (PMS/POS),Payment gateway integration and testing
IT,Information Technology,Systems Integration (PMS/POS),Door lock system integration with PMS
IT,Information Technology,Systems Integration (PMS/POS),Spa and activities booking system setup
IT,Information Technology,Systems Integration (PMS/POS),Business intelligence and reporting tool setup
IT,Information Technology,Systems Integration (PMS/POS),User acceptance testing for core systems
IT,Information Technology,Systems Integration (PMS/POS),IPTV / Guest TV system setup and testing
IT,Information Technology,Systems Integration (PMS/POS),System interface inventory and documentation
IT,Information Technology,Security & End-User Support,CCTV network and system integration
IT,Information Technology,Security & End-User Support,Access control system technical integration and configuration
IT,Information Technology,Security & End-User Support,Staff laptop and desktop procurement and imaging
IT,Information Technology,Security & End-User Support,Printer and peripheral deployment
IT,Information Technology,Security & End-User Support,Help desk ticketing system setup
IT,Information Technology,Security & End-User Support,Cybersecurity policy and antivirus deployment
IT,Information Technology,Security & End-User Support,Data backup and disaster recovery setup
IT,Information Technology,Security & End-User Support,Staff email and directory account creation
IT,Information Technology,Security & End-User Support,IT induction training for department heads
IT,Information Technology,Security & End-User Support,End-user support SOP documentation
IT,Information Technology,Security & End-User Support,Mobile Device Management (MDM) setup
IT,Information Technology,Security & End-User Support,IT asset inventory and tagging
IT,Information Technology,Security & End-User Support,IT vendor support and SLA documentation
IT,Information Technology,Security & End-User Support,Final IT systems readiness testing
IT,Information Technology,Security & End-User Support,IT handover documentation and support escalation matrix
ENG,Engineering,MEP Systems,HVAC system installation and commissioning
ENG,Engineering,MEP Systems,Chiller plant testing
ENG,Engineering,MEP Systems,Electrical switchgear installation
ENG,Engineering,MEP Systems,Backup generator installation
