Task_ID,Task_Name,Department_ID,Department_Name,Workstream,Owner,Vendor_ID,Priority,Critical_Path_Flag,Planned_Start_Date,Planned_End_Date,Planned_Cost
IT-001,Core network design and cabling installation,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,VEN-IT-01,High,True,2026-12-17,2027-01-04,114100
IT-002,Backbone switch and router configuration,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,,High,True,2026-12-08,2026-12-15,118100
IT-003,Server room setup and rack installation,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,VEN-IT-01,Medium,False,2026-12-16,2027-01-07,36400
IT-004,Guest Wi-Fi network deployment,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,,High,False,2026-12-14,2026-12-30,33300
IT-005,Staff Wi-Fi network deployment,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,,High,False,2026-12-21,2027-01-08,39500
IT-006,Wireless access point site survey,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,,High,False,2026-12-07,2026-12-20,85300
IT-007,Network segmentation and VLAN configuration,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,VEN-IT-04,Critical,False,2026-12-22,2027-01-03,37000
IT-008,Internet service provider circuit installation,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,,Low,False,2026-12-09,2026-12-25,34800
IT-009,Firewall installation and configuration,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,VEN-IT-01,Medium,False,2026-12-23,2027-01-08,76200
IT-010,Network uptime and failover testing,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,VEN-IT-04,High,True,2026-12-22,2026-12-30,45800
IT-011,IP addressing scheme documentation,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,VEN-IT-02,Low,False,2026-12-25,2026-12-28,43500
IT-012,IP Telephony / PBX system setup and testing,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,,Medium,False,2026-12-16,2026-12-24,37200
IT-013,Server room UPS and power protection testing,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,,Medium,False,2026-12-07,2026-12-12,18400
IT-014,Network and infrastructure monitoring setup,IT,Information Technology,Network & Infrastructure,Network Infrastructure Lead,VEN-IT-02,High,False,2026-12-11,2026-12-31,50000
IT-015,PMS installation,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,,Critical,True,2027-01-04,2027-01-27,50000
IT-016,PMS interface testing with Front Office,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,,Critical,True,2027-01-12,2027-01-18,59500
IT-017,POS system installation for F&B outlets,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,VEN-IT-03,High,True,2026-12-23,2027-01-11,26700
IT-018,POS integration with PMS for guest billing,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,,High,True,2026-12-25,2027-01-18,28700
IT-019,Channel manager and OTA connectivity setup,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,VEN-IT-04,High,False,2027-01-07,2027-01-29,53100
IT-020,Central reservation system integration,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,,Medium,False,2027-01-14,2027-01-31,15300
IT-021,Payment gateway integration and testing,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,,Medium,False,2027-01-08,2027-01-17,51000
IT-022,Door lock system integration with PMS,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,VEN-IT-04,Critical,True,2026-12-24,2027-01-14,70800
IT-023,Spa and activities booking system setup,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,VEN-IT-04,Low,False,2026-12-22,2027-01-11,31800
IT-024,Business intelligence and reporting tool setup,IT,Information Technology,Systems Integration (PMS/POS),Systems Integration Manager,VEN-IT-01,Low,False,2027-01-06,2027-01-11,129700
